10000 2147483648
0 30 3876054
0 41 6534075
0 16 7189091
0 40 2055822
0 49 2297556
0 49 5169135
0 13 274369
0 50 1254015
0 41 418114
0 13 1883638
0 17 3937475
0 25 1691517
0 39 7117817
0 11 5543035
0 36 1995988
0 38 821296
0 11 1235256
0 23 516225
0 13 1994711
0 20 2671477
0 25 5159298
0 41 4570922
0 31 2806008
0 24 2040923
0 29 2637659
0 40 3549599
0 40 7757149
0 22 1469621
0 25 5658157
0 28 3380986
0 34 4694017
1 23 7207237
1 25 551618
1 33 8134289
1 50 6409322
1 29 4596110
1 11 5653289
1 15 2098448
1 33 7397464
1 21 6167348
1 29 6149264
1 50 7629405
1 28 7931466
1 45 1284305
1 22 1046131
1 22 1079861
1 36 5873967
1 48 1545778
1 33 2907333
1 18 5099705
1 21 6619984
1 32 4793658
1 19 829251
2 50 3613996
2 50 2501757
2 46 889913
2 17 7735173
2 34 2939802
2 45 7284512
2 25 6288687
2 26 7918277
2 16 5540263
2 18 6708174
2 24 3125619
2 50 3514007
2 28 2119198
2 40 6260569
2 43 693547
2 17 2286497
2 12 6762155
2 44 3701597
2 50 2003013
2 25 2953232
3 24 6950782
3 41 7274612
3 26 4222802
3 41 4491003
3 22 4382481
3 41 2551580
3 13 8149921
3 28 4692019
3 11 6090934
3 34 7429155
3 35 853041
3 12 6606214
3 23 8105415
3 28 8191697
3 32 3709039
3 46 2373856
3 49 2595883
3 37 4108323
3 20 573015
3 32 8051346
3 42 6026006
3 44 8224157
3 20 1185316
3 12 600427
3 50 4602632
3 28 7626126
3 37 2428818
3 13 5934110
4 44 6626072
4 20 3462906
4 37 5655109
4 31 1618662
4 17 6715853
4 13 3116701
4 20 1420065
4 30 7622851
4 40 3055371
4 18 4737389
4 28 6758427
4 12 7870615
4 37 6222402
4 42 5959288
4 22 7483328
4 20 1975283
4 24 3046057
4 11 6523205
4 33 1526155
5 12 998200
5 14 6551540
5 43 2556964
5 45 3576631
5 47 4871762
5 28 8103308
5 30 2640843
5 42 3363943
5 20 1233234
5 31 6624655
5 31 3285407
5 42 6557986
5 28 2788505
5 26 4354583
5 24 6405120
5 44 6103876
5 13 7893011
5 46 1912352
5 10 3863496
5 42 5524379
5 48 4968260
5 44 2338759
5 20 4129151
5 39 175735
5 20 1295101
6 31 505595
6 43 4122890
6 47 5795163
6 47 1582671
6 29 5361685
6 27 4707500
6 10 5733884
6 39 7552940
6 20 601033
6 38 3856616
6 23 3985620
6 16 7014950
6 48 5986000
6 39 5892751
6 45 2929835
6 19 7493321
6 40 2606974
6 24 794758
6 42 7158767
6 26 1203238
6 16 6152941
6 29 6983928
6 35 6180399
6 37 2487089
6 36 2443007
6 17 4002186
6 18 949710
6 46 3194611
6 39 7369624
6 44 3068546
6 26 5241985
6 13 5247425
7 17 1092755
7 32 998655
7 12 2549834
7 41 6910005
7 41 3574635
7 11 2553439
7 18 6039813
7 16 6953870
7 14 7998115
7 25 5943823
7 21 3736974
7 45 7381164
7 35 2372042
7 13 2496253
7 33 7121843
7 37 3130141
7 48 6595596
7 12 3810761
7 25 4421760
7 38 1743173
7 50 3010736
7 19 858541
7 46 6967719
7 29 3275626
7 44 2974458
7 33 7787812
7 22 7305725
7 25 7819976
7 28 4803674
7 46 1589841
7 41 5310695
8 11 958410
8 42 5578410
8 47 1296177
8 29 7615515
8 46 716193
8 39 4428145
8 37 513310
8 34 1105237
8 22 7399087
8 46 7839390
8 15 7453159
8 28 7083663
8 20 6670967
8 33 6493803
8 18 2551088
8 20 3251406
8 34 6041615
8 28 7336626
8 42 6139357
8 13 5639987
8 48 8077125
8 13 3512193
8 15 3683992
8 15 276343
8 45 1317533
8 45 5174613
8 17 2339902
8 31 6893458
8 42 2982298
9 10 2771026
9 50 6103001
9 28 6310038
9 13 5659398
9 49 8032337
9 42 2349926
9 37 5813408
9 41 1707202
9 25 1027410
9 28 909885
9 27 2700451
9 42 5686085
9 19 4656201
9 34 6464207
9 50 7970577
9 16 2600729
9 18 6710422
9 45 1380634
9 43 3893846
9 37 1039290
9 32 7486076
9 13 5546258
9 48 5619323
9 22 6168286
10 44 6470907
10 21 3708115
10 44 7419525
10 17 5057304
10 11 6263044
10 35 3484799
10 20 2704518
10 47 2438925
10 30 5442920
10 34 6781638
10 20 519767
10 33 5498331
10 36 7104373
10 43 5065154
10 32 3853257
10 28 6037477
10 43 5795895
10 23 6856228
10 47 1560606
10 12 7058821
10 48 4227167
10 19 4955462
11 42 446842
11 45 3117215
11 44 283759
11 12 432330
11 25 7528686
11 37 7808614
11 18 3045616
11 39 3824076
11 31 6465756
11 29 7357804
11 50 7145644
11 46 6742146
11 20 3371451
11 45 7778600
11 20 823339
11 21 4207209
11 28 353084
11 36 4960957
11 39 7956758
11 18 5935426
11 13 4555930
11 13 4922843
11 30 3987981
11 16 2756434
11 23 6251973
11 36 7263840
11 21 2712967
11 40 5438025
12 16 5597372
12 15 287311
12 42 908596
12 14 4965830
12 12 3070563
12 38 7445230
12 25 8226287
12 14 3640417
12 42 4196147
12 23 1696294
12 46 5423490
12 34 1951776
12 22 6273254
12 32 7017205
12 42 666567
12 39 3829754
12 25 2492291
12 50 7135987
12 49 5415758
12 12 1466831
12 13 1674022
12 12 6936951
12 40 3824964
12 34 5060334
12 19 5277867
12 14 7660844
12 23 4109135
12 39 2180768
13 21 1393164
13 18 2485821
13 47 6239283
13 24 1639815
13 16 8042041
13 36 1771848
13 11 6631786
13 19 2765429
13 39 6134295
13 42 6255632
13 31 3061716
13 28 4675786
13 21 747907
13 40 1039081
13 36 1368989
13 47 1033002
13 13 142653
13 48 175718
13 15 1988377
13 39 8084632
13 46 3461109
13 23 2429755
13 45 7301153
13 12 3955119
13 20 1133562
13 43 7597043
14 39 2013623
14 40 8001078
14 39 3413499
14 38 1930654
14 35 1391793
14 16 2847350
14 47 1133513
14 12 6055288
14 19 6841739
14 20 5351908
14 46 3969941
14 30 7589573
14 39 3356614
14 32 3026903
14 16 5957745
14 44 773598
14 16 2274008
14 39 7300256
14 28 7631104
14 28 7187169
14 20 1964299
14 33 4536190
14 33 835855
14 16 1456680
14 31 3251997
14 25 7442432
14 27 5144184
14 43 1209847
14 22 3251999
14 14 2365784
14 34 7936595
15 37 1426792
15 40 3903187
15 15 6971100
15 12 6317958
15 46 3409871
15 15 473398
15 12 1331956
15 12 7816867
15 20 7527874
15 48 2365184
15 41 2096247
15 32 7213721
15 42 6567546
15 37 5411025
15 46 3616605
15 18 2717317
15 35 2504405
15 46 1596455
15 16 2729664
15 12 4770631
15 22 3266791
15 23 1653471
15 49 2989304
15 15 6001912
15 20 1392223
15 25 4401411
15 45 3204511
15 47 5898030
15 39 6640065
15 15 178668
15 32 5778857
16 10 4914626
16 17 7790817
16 10 5750590
16 32 7782660
16 44 2381291
16 26 2606384
16 22 3884897
16 46 2539457
16 22 1135899
16 11 5695550
16 40 7667978
16 35 7987251
16 26 1250370
16 27 1749860
16 40 1756560
16 50 2779535
16 27 7451905
16 31 6074088
16 45 6468101
16 20 717824
16 40 7347957
16 18 6248909
16 25 8155996
16 36 7975576
16 22 8172502
16 15 412966
17 37 4982703
17 18 1075333
17 15 203082
17 46 6738760
17 48 4957081
17 47 3483875
17 29 3166499
17 48 4105754
17 37 450611
17 32 2470212
17 33 6087746
17 13 2445938
17 32 4622544
17 28 1074135
17 44 3924711
17 33 5165682
17 25 2065028
17 49 4597109
17 15 4155077
17 18 6325808
17 38 5082898
17 40 3441190
17 32 6639292
17 33 3454604
18 26 1022276
18 13 5927798
18 11 4315865
18 18 835167
18 45 5993436
18 13 1498149
18 28 3514627
18 29 6712632
18 15 5265111
18 24 2777210
18 30 3511613
18 33 7394175
18 21 1059059
18 10 3707367
18 48 2235264
18 34 5757025
18 26 5012555
18 32 7062040
18 25 1110986
18 25 5068910
18 17 2466746
18 30 6228029
18 16 5676747
18 32 3739639
19 22 1598228
19 27 2094181
19 11 8183368
19 19 5411194
19 38 569036
19 17 2768981
19 37 8055815
19 48 5211272
19 16 854766
19 49 5242900
19 39 2138804
19 21 384670
19 20 1034692
19 13 3935833
19 47 5211070
19 35 7125813
19 35 7567425
19 22 2022947
19 30 5286805
19 26 4819110
19 11 1622949
19 30 7628393
19 25 5795833
19 13 7215329
19 40 7777926
20 23 2782164
20 15 4246353
20 10 4578105
20 11 2363193
20 32 4912839
20 13 7292878
20 33 4493517
20 18 6410229
20 38 3417318
20 45 6372488
20 27 5647144
20 21 2289489
20 47 2321670
20 12 1428042
20 49 4455522
20 29 859857
20 41 7831087
20 47 4139114
20 17 3767888
20 50 6324201
20 25 5815373
20 25 5587037
21 28 2742882
21 46 843723
21 34 1387986
21 24 7054318
21 49 6858366
21 38 8131059
21 45 1430787
21 31 1948294
21 34 6683810
21 21 7552463
21 42 2608564
21 14 6854197
21 16 6963090
21 29 744233
21 34 5378895
21 26 5888976
21 44 4106079
21 29 3129046
21 36 3010705
21 21 7058349
21 15 2119679
22 18 4162137
22 36 4717316
22 26 8139423
22 19 6834541
22 11 1625816
22 35 5559051
22 46 5947766
22 22 7410249
22 24 6353994
22 40 3567432
22 34 4866621
22 28 955963
22 46 5244952
22 11 8244134
22 20 6122907
22 49 3677721
22 24 3608416
22 40 5400685
22 21 5309718
22 27 4398009
22 34 6534719
23 32 7277177
23 41 5258980
23 35 6470628
23 26 3432733
23 48 7221871
23 18 1145808
23 37 7569890
23 49 5515508
23 46 2960691
23 50 3860688
23 19 1982472
23 50 6398403
23 47 3938707
23 10 1965311
23 24 1009146
23 19 7083305
23 32 142652
23 11 3087410
23 27 3921753
23 18 5922267
23 27 3882332
23 24 7366174
23 16 528545
23 24 1513636
23 36 4769758
23 26 3209142
23 26 2430270
23 44 4572630
23 40 4767094
23 11 6932490
23 15 5750658
23 19 1345018
24 43 5261704
24 22 2948859
24 26 3036661
24 11 1780719
24 33 5744916
24 42 6220383
24 45 2441595
24 25 4762865
24 15 6274682
24 29 4995418
24 45 1144261
24 35 4106731
24 25 1859595
24 49 416788
24 23 7944891
24 48 379185
24 49 2463506
24 12 6976376
24 48 7202196
24 42 4064804
24 33 3264413
24 44 6622597
24 18 6320656
24 36 765878
24 26 7202610
24 30 8008997
24 15 1814432
24 15 5020452
24 45 4842149
24 19 6801067
24 27 160153
24 18 3051156
24 18 2072407
24 15 2767405
24 46 330400
24 10 3326433
24 41 1738352
24 15 925221
24 23 5028879
24 42 1463586
24 27 4398358
25 49 451538
25 22 6678226
25 45 584325
25 32 2471618
25 22 2106936
25 19 1776024
25 17 4529282
25 23 7118237
25 35 1024001
25 43 6045612
25 28 160297
25 13 4129796
25 34 2879549
25 27 209877
25 34 2806622
25 13 3304683
25 17 7810656
25 12 2952503
25 31 6537350
25 30 4493891
25 34 4884617
26 32 2499688
26 28 5361086
26 40 2150731
26 12 790400
26 25 6437613
26 36 4193028
26 31 2654834
26 25 5826848
26 43 1006520
26 27 5674203
26 30 6332986
26 46 1337086
26 27 4000511
26 48 5478159
26 14 3412461
26 37 8043105
26 22 6844380
26 28 1613732
26 12 2595178
26 18 586542
26 22 942422
26 45 1761279
27 39 2758156
27 35 5240943
27 30 478709
27 32 3858607
27 27 4172151
27 35 4237944
27 31 2663077
27 50 5064761
27 16 1543624
27 44 5106100
27 28 4432448
27 37 5888950
27 22 1420208
27 19 2164081
27 31 3594175
27 25 2103721
27 35 6371383
27 15 5178684
27 48 7231572
27 43 1063454
27 29 4788788
27 10 141918
27 42 141501
27 40 2720711
28 26 2416554
28 47 4515790
28 15 2808965
28 12 4393404
28 14 2263132
28 28 7580916
28 49 3115029
28 26 6124675
28 31 6059751
28 11 7894144
28 28 5685361
28 41 2133738
28 29 6978690
28 35 7401558
28 49 7521185
28 11 8063688
28 17 2378270
28 23 6796114
28 36 7419084
28 29 3220739
28 28 3502417
28 39 2647467
29 29 4951420
29 23 6503117
29 11 1367848
29 12 7577913
29 31 328444
29 16 2652138
29 14 7230267
29 20 6690608
29 50 2429489
29 28 4602596
29 10 403896
29 30 980753
29 22 770889
29 14 4724937
29 21 2542502
29 40 3686790
29 49 5840384
29 15 3402610
29 10 6663507
29 14 5316391
29 39 3479620
29 38 1535538
29 40 8033200
29 33 3249884
29 22 692894
29 43 3843928
29 31 7559732
