50000 1000
R 20173 35495
R 46242 42857
R 44554 9437
L 2888 34834
L 40223 23690
L 42716 34896
L 14038 29019
L 17924 19411
R 25330 35060
L 36011 14033
L 25190 31889
L 31750 41753
L 4639 21216
L 9610 34978
R 42582 48767
R 11835 42503
R 8233 3816
L 19483 23296
L 8604 42133
L 9125 9537
L 48572 582
L 15737 35835
R 2403 25936
R 7758 38157
R 26200 34256
L 10127 6596
L 35781 30620
R 43237 20058
R 16607 19828
R 8320 42398
R 20389 48666
R 8368 9670
L 41713 31694
L 48132 46784
R 3973 12891
R 32689 6415
R 4566 25057
R 6879 31742
L 8006 15422
L 33894 31232
R 6175 1523
R 3 41695
R 3816 9714
L 28621 17930
R 23454 37782
L 41004 30440
L 45959 19399
R 43196 955
R 5074 49461
L 13685 20188
L 1767 12728
R 20844 43899
R 47374 3059
R 16123 541
L 45936 19381
R 30044 30287
L 45647 48525
L 39226 44941
R 31807 40944
L 20769 9527
L 25658 15841
R 8395 15816
L 346 43768
R 14927 6915
L 7011 39230
L 18694 29706
L 10712 39700
L 17513 44650
R 30502 45550
L 11541 27952
R 8396 17866
L 33064 15626
R 34981 41524
L 43377 36617
R 47952 18106
R 1317 26562
R 44991 20928
L 2290 19
L 32981 25047
R 39377 44856
R 46943 22446
R 34656 29484
L 35793 21129
R 45899 31689
R 20953 26952
L 29506 46606
L 41528 22920
L 49268 3401
L 22521 22045
L 12672 26088
R 20684 32721
L 41884 36694
R 45602 18037
R 43623 38678
L 416 19756
R 18287 8918
L 40554 8617
R 32585 23217
L 24871 23688
R 49427 19851
L 2370 962
L 44524 49153
L 34819 26219
L 39856 3214
L 781 21762
R 20310 1279
R 6007 19546
R 40985 12935
L 13381 15872
L 46331 15482
R 39612 12372
R 10063 36190
L 40510 39094
R 2880 27137
L 35983 35966
L 24159 7570
L 1421 44026
R 3775 13430
R 48813 13882
L 426 18183
L 10324 22651
L 48097 9497
L 4655 13263
L 31936 8004
R 10943 9268
L 4004 26928
