2001
0 + 1 2
1 + 9 10
2 - 3 4
3 - 13 14
4 + 5 6
5 - 7 8
6 + 15 16
7 - 23 24
8 - 25 26
9 + 11 12
10 - 29 30
11 + 17 18
12 - 19 20
13 - 21 22
14 + 35 36
15 - 43 44
16 + 27 28
17 - 39 40
18 + 97 98
19 - 87 88
20 - 57 58
21 - 53 54
22 - 49 50
23 - 71 72
24 + 115 116
25 + 41 42
26 + 33 34
27 - 311 312
28 + 65 66
29 - 31 32
30 + 69 70
31 + 81 82
32 + 37 38
33 - 125 126
34 - 271 272
35 - 91 92
36 - 45 46
37 + 79 80
38 + 51 52
39 + 55 56
40 + 61 62
41 - 255 256
42 - 73 74
43 + 47 48
44 + 67 68
45 - 101 102
46 + 137 138
47 - 189 190
48 + 117 118
49 + 171 172
50 + 103 104
51 + 121 122
52 + 215 216
53 + 63 64
54 - 139 140
55 - 251 252
56 + 109 110
57 + 211 212
58 + 59 60
59 + 133 134
60 - 75 76
61 - 99 100
62 + 77 78
63 + 83 84
64 - 113 114
65 + 107 108
66 - 227 228
67 - 299 300
68 - 149 150
69 - 105 106
70 - 89 90
71 - 127 128
72 - 135 136
73 - 85 86
74 - 203 204
75 - 219 220
76 - 363 364
77 + 159 160
78 + 201 202
79 - 119 120
80 + 319 320
81 - 181 182
82 - 143 144
83 - 273 274
84 + 1057 1058
85 + 179 180
86 + 205 206
87 - 123 124
88 + 241 242
89 + 165 166
90 + 129 130
91 - 193 194
92 - 93 94
93 - 95 96
94 + 157 158
95 - 825 826
96 + 447 448
97 + 249 250
98 - 459 460
99 - 177 178
100 + 767 768
101 - 217 218
102 - 169 170
103 + 377 378
104 - 111 112
105 - 153 154
106 + 161 162
107 - 199 200
108 - 321 322
109 + 291 292
110 + 131 132
111 + 325 326
112 + 147 148
113 - 515 516
114 - 223 224
115 - 145 146
116 + 225 226
117 + 413 414
118 + 163 164
119 + 265 266
120 - 295 296
121 - 933 934
122 - 173 174
123 - 385 386
124 - 175 176
125 + 303 304
126 + 315 316
127 - 1129 1130
128 - 281 282
129 + 243 244
130 + 379 380
131 - 409 410
132 - 313 314
133 + 317 318
134 + 195 196
135 + 239 240
136 - 151 152
137 + 183 184
138 - 287 288
139 - 297 298
140 - 141 142
141 + 155 156
142 - 167 168
143 + 187 188
144 + 261 262
145 + 769 770
146 + 373 374
147 - 221 222
148 + 639 640
149 + 497 498
150 - 477 478
151 - 367 368
152 - 185 186
153 - 209 210
154 + 369 370
155 + 955 956
156 - 895 896
157 - 329 330
158 + 259 260
159 + 969 970
160 + 433 434
161 - 399 400
162 + 457 458
163 - 971 972
164 + 655 656
165 + 289 290
166 - 279 280
167 - 551 552
168 + 207 208
169 - 197 198
170 + 667 668
171 + 191 192
172 - 381 382
173 - 627 628
174 - 425 426
175 + 213 214
176 + 231 232
177 + 1661 1662
178 + 1205 1206
179 - 713 714
180 n 9
181 - 257 258
182 - 235 236
183 + 397 398
184 + 285 286
185 n 0
186 - 1121 1122
187 + 577 578
188 + 349 350
189 - 345 346
190 + 401 402
191 - 357 358
192 - 253 254
193 - 267 268
194 - 263 264
195 + 247 248
196 + 489 490
197 + 611 612
198 - 925 926
199 + 897 898
200 + 1091 1092
201 + 567 568
202 + 405 406
203 - 283 284
204 - 1165 1166
205 + 659 660
206 + 1013 1014
207 n 1
208 - 723 724
209 - 307 308
210 - 1069 1070
211 + 407 408
212 - 339 340
213 + 501 502
214 + 951 952
215 - 653 654
216 + 229 230
217 + 871 872
218 - 733 734
219 - 277 278
220 + 1127 1128
221 - 427 428
222 + 1289 1290
223 + 563 564
224 + 437 438
225 + 233 234
226 + 613 614
227 + 453 454
228 - 245 246
229 + 237 238
230 - 677 678
231 - 1791 1792
232 + 625 626
233 + 967 968
234 + 461 462
235 - 539 540
236 + 647 648
237 - 571 572
238 - 679 680
239 + 471 472
240 + 421 422
241 + 341 342
242 - 521 522
243 - 533 534
244 + 371 372
245 + 301 302
246 + 629 630
247 + 483 484
248 + 1199 1200
249 - 331 332
250 + 305 306
251 - 717 718
252 + 375 376
253 - 309 310
254 - 943 944
255 - 269 270
256 + 555 556
257 - 423 424
258 - 619 620
259 n 8
260 - 1297 1298
261 - 981 982
262 - 335 336
263 - 275 276
264 + 455 456
265 - 683 684
266 + 663 664
267 - 519 520
268 - 383 384
269 - 523 524
270 - 753 754
271 - 293 294
272 + 463 464
273 - 665 666
274 - 1559 1560
275 n 1
276 - 1157 1158
277 + 561 562
278 + 595 596
279 + 431 432
280 + 347 348
281 + 741 742
282 + 1095 1096
283 + 1555 1556
284 - 323 324
285 + 573 574
286 - 725 726
287 + 823 824
288 - 361 362
289 + 415 416
290 - 333 334
291 + 403 404
292 + 543 544
293 + 411 412
294 + 1117 1118
295 - 731 732
296 - 1909 1910
297 + 435 436
298 - 545 546
299 - 343 344
300 + 1079 1080
301 - 809 810
302 - 337 338
303 + 465 466
304 + 393 394
305 + 517 518
306 - 637 638
307 - 805 806
308 - 787 788
309 + 1261 1262
310 - 441 442
311 + 355 356
312 + 645 646
313 n 5
314 + 761 762
315 + 601 602
316 + 643 644
317 - 771 772
318 - 511 512
319 - 475 476
320 + 537 538
321 + 327 328
322 - 579 580
323 + 599 600
324 n 7
325 + 811 812
326 - 1451 1452
327 n 9
328 + 1187 1188
329 + 351 352
330 - 1243 1244
331 + 829 830
332 + 481 482
333 + 807 808
334 + 507 508
335 - 389 390
336 + 535 536
337 - 1527 1528
338 + 417 418
339 - 365 366
340 + 487 488
341 + 883 884
342 + 633 634
343 + 531 532
344 + 353 354
345 - 509 510
346 + 1505 1506
347 - 757 758
348 - 359 360
349 + 439 440
350 - 1175 1176
351 - 491 492
352 - 963 964
353 + 1993 1994
354 + 1419 1420
355 - 391 392
356 + 559 560
357 + 451 452
358 - 495 496
359 + 839 840
360 + 1769 1770
361 - 695 696
362 - 873 874
363 + 553 554
364 + 795 796
365 + 1247 1248
366 + 635 636
367 + 901 902
368 - 419 420
369 + 387 388
370 + 945 946
371 + 707 708
372 - 1093 1094
373 - 701 702
374 - 529 530
375 + 1899 1900
376 + 1595 1596
377 + 721 722
378 - 499 500
379 + 445 446
380 + 715 716
381 + 395 396
382 - 443 444
383 + 817 818
384 - 605 606
385 - 1467 1468
386 - 603 604
387 + 503 504
388 + 541 542
389 n 9
390 - 1753 1754
391 - 1063 1064
392 - 1539 1540
393 + 835 836
394 - 993 994
395 + 479 480
396 - 867 868
397 + 429 430
398 - 661 662
399 + 1871 1872
400 - 727 728
401 + 751 752
402 - 1229 1230
403 + 1011 1012
404 - 949 950
405 + 1147 1148
406 - 1183 1184
407 - 469 470
408 - 985 986
409 n 4
410 + 1285 1286
411 n 0
412 - 745 746
413 + 893 894
414 + 785 786
415 + 843 844
416 + 927 928
417 - 587 588
418 n 2
419 n 8
420 + 617 618
421 - 749 750
422 + 485 486
423 + 467 468
424 + 1003 1004
425 - 681 682
426 - 1541 1542
427 - 615 616
428 n 0
429 - 1593 1594
430 - 1663 1664
431 - 675 676
432 + 1571 1572
433 n 2
434 - 687 688
435 + 699 700
436 + 1429 1430
437 + 565 566
438 - 449 450
439 + 557 558
440 - 575 576
441 n 8
442 n 7
443 + 581 582
444 - 1821 1822
445 + 651 652
446 - 473 474
447 - 1565 1566
448 + 849 850
449 n 5
450 n 5
451 + 1471 1472
452 + 1677 1678
453 + 793 794
454 + 1351 1352
455 + 493 494
456 - 801 802
457 - 527 528
458 + 875 876
459 + 621 622
460 - 505 506
461 + 1447 1448
462 - 1665 1666
463 + 597 598
464 + 607 608
465 n 0
466 + 799 800
467 - 1423 1424
468 - 649 650
469 + 803 804
470 - 583 584
471 n 9
472 + 855 856
473 n 2
474 n 7
475 - 1729 1730
476 + 1613 1614
477 - 791 792
478 n 9
479 - 923 924
480 n 2
481 + 961 962
482 - 513 514
483 + 591 592
484 n 5
485 n 7
486 - 1403 1404
487 + 1885 1886
488 + 1375 1376
489 + 1391 1392
490 + 831 832
491 n 5
492 n 5
493 - 1397 1398
494 n 9
495 n 0
496 - 1291 1292
497 + 593 594
498 - 1131 1132
499 n 0
