1000 5000
0 1
0 113 12
0 119 19
0 169 30
0 301 28
0 352 28
0 575 20
0 705 14
1 2 16
1 4 30
1 128 29
1 132 20
1 214 16
1 273 22
1 504 12
1 516 29
1 773 10
1 806 25
1 864 28
1 983 11
2 132 30
2 141 24
2 562 12
3 366 30
3 638 24
3 722 26
3 727 20
3 775 26
3 786 19
3 837 21
3 970 28
4 61 10
4 189 23
4 255 12
4 353 12
4 507 11
4 555 17
4 731 15
4 767 25
4 956 24
5 90 19
5 228 27
5 312 27
5 366 11
5 400 30
5 520 13
5 572 30
5 739 15
5 816 18
5 978 23
6 8 23
6 33 25
6 56 10
6 63 10
6 364 15
6 365 19
6 410 19
6 481 15
6 509 30
6 736 24
6 868 25
6 921 12
7 157 22
7 223 13
7 238 20
7 353 26
7 371 17
7 444 16
7 516 24
7 528 10
7 609 25
7 649 21
7 815 29
7 843 16
7 924 20
8 48 20
8 69 18
8 154 30
8 220 27
8 495 20
8 505 29
8 701 20
8 942 17
9 85 27
9 130 10
9 147 29
9 171 16
9 202 15
9 205 19
9 348 30
9 547 13
9 820 10
10 83 11
10 91 13
10 663 24
10 719 15
10 761 19
10 768 16
10 783 24
11 149 19
11 267 28
11 361 11
11 445 19
11 588 24
11 691 26
11 735 30
11 924 22
11 934 20
12 17 29
12 46 15
12 59 20
12 75 11
12 90 27
12 97 18
12 181 30
12 202 12
12 305 17
12 487 24
12 557 16
12 617 17
12 634 16
12 698 17
12 874 15
13 67 14
13 73 17
13 106 27
13 160 16
13 166 16
13 177 21
13 239 19
13 498 26
13 629 16
13 765 17
13 768 24
14 26 19
14 223 13
14 313 27
14 603 14
14 773 11
14 775 12
14 999 16
15 67 13
15 160 15
15 246 20
15 249 10
15 259 23
15 282 24
15 326 20
15 390 25
15 594 17
15 914 19
15 916 10
15 956 26
15 989 26
16 31 20
16 114 29
16 117 28
16 134 26
16 282 10
16 321 11
16 323 28
16 345 13
16 383 11
16 400 15
16 682 19
16 714 18
16 798 14
16 874 11
16 969 25
16 983 14
17 34 11
17 359 14
17 678 30
17 684 13
17 809 26
17 821 20
17 863 19
17 962 25
17 969 23
18 132 24
18 404 15
18 425 20
18 459 29
18 501 13
18 536 18
18 707 23
18 835 17
18 949 28
18 959 17
19 55 28
19 199 15
19 393 11
19 430 15
19 574 17
19 645 22
19 755 22
20 325 27
20 334 25
20 617 21
20 755 17
20 901 18
20 986 26
21 243 30
21 245 23
21 292 14
21 598 17
21 599 19
21 641 26
21 729 27
22 164 17
22 182 24
22 351 11
22 853 27
22 868 15
22 900 26
22 950 14
22 973 30
22 996 15
23 96 12
23 115 17
23 306 10
23 413 27
23 446 19
23 486 14
23 585 10
23 606 29
23 752 14
23 774 13
24 135 23
24 142 17
24 413 21
24 481 20
24 797 12
25 57 26
25 323 20
25 394 25
25 469 19
25 634 13
26 129 20
26 152 28
26 196 30
26 331 18
26 504 11
26 513 22
26 719 19
26 791 20
26 793 12
26 799 16
26 840 27
26 845 11
26 891 21
26 900 29
26 949 15
27 149 26
27 181 23
27 336 27
27 486 11
27 718 11
27 793 16
27 804 18
27 920 17
28 339 18
28 536 14
28 563 25
28 722 21
28 752 27
28 799 17
28 895 17
29 78 13
29 225 27
29 336 13
29 344 28
29 370 16
29 506 27
29 520 15
29 578 30
29 616 21
29 675 14
29 736 23
29 871 19
29 883 28
30 263 14
30 330 11
30 428 21
30 431 28
30 470 12
30 598 18
30 657 18
30 867 24
30 924 17
30 950 10
31 412 14
31 462 24
31 575 16
31 753 10
31 799 27
32 241 13
32 299 23
32 306 28
32 344 18
32 418 26
32 571 22
32 589 13
32 620 28
32 736 16
32 819 25
32 829 29
32 881 11
32 884 11
32 913 16
32 977 11
33 203 23
33 264 11
33 307 18
33 322 25
33 542 29
33 559 20
33 583 19
33 724 24
33 765 27
33 810 13
33 919 29
34 444 28
34 543 19
34 737 20
35 51 18
35 197 19
35 404 10
35 454 10
35 576 16
35 631 23
35 819 12
35 993 14
36 68 22
36 291 24
36 641 16
36 705 27
36 727 13
36 736 24
37 169 12
37 248 29
37 331 30
37 392 18
37 414 19
37 497 24
37 507 25
37 621 15
37 667 14
37 793 22
38 156 21
38 216 24
38 457 30
38 474 19
38 537 14
38 694 29
38 711 29
38 742 24
38 775 13
38 872 26
38 887 14
38 950 30
39 53 12
39 375 24
39 404 12
39 464 16
39 504 11
39 571 30
39 658 18
39 774 27
39 896 30
39 971 14
39 989 18
40 137 11
40 231 11
40 247 15
40 566 26
40 568 17
40 702 23
40 756 19
40 776 15
40 864 24
40 905 19
40 908 27
41 63 22
41 66 10
41 199 29
41 245 27
41 264 29
41 344 18
41 373 16
41 389 24
41 457 12
41 510 16
41 531 19
41 566 26
41 696 26
41 797 29
41 891 15
41 962 13
42 432 10
42 497 15
42 505 19
42 578 29
42 627 12
42 688 11
42 739 17
43 102 15
43 128 13
43 196 28
43 204 12
43 245 28
43 308 16
43 317 23
43 415 16
43 432 21
43 513 26
43 531 27
43 554 27
43 586 24
43 631 10
43 642 27
43 769 21
43 788 29
43 809 18
43 833 27
43 876 24
43 888 19
43 964 11
43 974 28
43 976 27
44 190 12
44 223 23
44 438 24
44 445 15
44 460 27
44 570 18
44 827 28
44 848 21
44 881 30
44 914 25
45 52 11
45 77 27
45 327 26
45 576 30
45 769 20
45 891 24
45 909 24
45 932 21
46 56 22
46 65 16
46 118 20
46 339 27
46 566 10
46 629 19
46 649 11
46 661 24
46 759 22
46 917 15
46 993 30
47 57 15
47 101 13
47 129 20
47 295 10
47 726 20
47 769 14
47 889 21
47 941 13
48 633 29
48 670 27
48 696 26
48 753 29
48 756 25
48 945 28
49 51 23
49 110 10
49 122 30
49 135 21
49 213 30
49 282 28
49 347 27
49 354 21
49 566 13
49 578 13
49 764 26
49 800 29
49 808 17
50 346 13
50 348 26
50 395 13
50 411 10
50 431 29
50 594 11
50 655 25
50 729 19
50 815 20
50 904 30
50 962 25
51 82 18
51 92 15
51 310 27
51 841 18
51 939 29
52 106 23
52 241 10
52 255 17
52 264 29
52 327 17
52 642 10
52 668 12
52 689 29
52 743 12
52 805 20
52 898 23
52 960 15
53 76 13
53 90 23
53 218 23
53 357 10
53 364 22
53 528 15
53 571 21
53 868 24
54 64 20
54 80 18
54 146 28
54 237 13
54 348 26
54 393 19
54 451 30
54 536 30
54 556 29
54 672 19
54 739 21
54 761 17
54 886 25
54 928 26
55 443 27
55 534 14
55 573 12
55 632 17
55 802 12
55 878 23
55 945 25
55 946 24
55 949 25
56 114 22
56 209 25
56 212 29
56 273 26
56 313 12
56 389 10
56 674 19
56 735 22
56 931 30
57 58 16
57 77 18
57 116 17
57 436 11
57 466 18
57 484 15
57 515 14
57 536 18
57 724 30
57 803 29
58 59 22
58 131 10
58 253 28
58 455 11
58 526 15
58 682 10
58 698 10
58 743 30
58 830 22
58 835 17
58 848 27
58 885 17
59 208 10
59 220 14
59 224 20
59 267 21
59 278 30
59 338 16
59 376 30
59 460 22
59 480 30
59 674 16
59 721 20
59 798 29
59 870 25
59 900 13
59 966 14
60 68 10
60 89 17
60 95 16
60 139 27
60 285 19
60 375 14
60 527 16
60 542 19
60 596 17
60 618 21
60 809 25
60 845 28
61 96 15
61 100 30
61 130 17
61 239 30
61 352 30
61 443 29
61 598 12
61 699 18
61 715 22
61 840 20
61 844 24
62 146 10
62 263 24
62 443 15
62 558 20
62 729 18
62 783 10
62 918 23
62 994 30
63 390 26
63 698 26
63 882 26
63 944 26
63 955 12
64 221 24
64 304 16
64 492 12
64 560 22
64 633 24
64 751 15
64 876 19
64 887 26
64 968 18
65 367 29
65 404 14
65 446 20
65 456 26
65 509 13
65 588 25
65 638 30
65 641 20
65 696 11
65 727 15
65 821 20
66 314 11
66 355 29
66 542 22
66 622 16
66 672 25
66 891 27
66 897 14
66 943 22
66 976 23
67 200 23
67 251 10
67 320 24
67 588 10
67 649 15
67 777 13
67 851 15
67 955 10
68 204 21
68 381 20
68 433 20
68 539 22
68 706 11
69 76 12
69 107 20
69 498 16
69 515 26
69 548 18
69 756 26
69 960 28
70 147 14
70 184 15
70 305 12
70 321 26
70 486 21
70 589 24
70 799 12
70 937 21
70 992 10
71 215 14
71 565 30
71 574 23
71 644 27
71 821 13
71 972 15
72 159 28
72 219 28
72 332 19
72 337 30
72 358 12
72 535 29
72 670 28
72 764 28
72 815 26
72 923 26
72 927 20
72 929 12
73 241 11
73 424 19
73 545 16
73 748 26
73 797 25
73 911 20
73 954 19
73 995 25
74 236 17
74 808 18
74 884 30
74 985 11
75 141 11
75 167 16
75 173 13
75 208 19
75 341 16
75 378 14
75 540 25
75 653 27
75 733 13
75 795 12
75 902 20
76 87 24
76 239 15
76 287 11
76 409 27
76 474 15
76 543 14
76 777 17
76 934 14
76 997 18
77 212 16
77 318 21
77 378 19
77 683 20
77 725 30
77 749 29
78 156 12
78 183 20
78 364 24
78 429 14
78 431 25
78 493 25
78 503 19
78 549 12
78 581 11
78 750 14
78 760 12
79 82 24
79 311 12
79 347 11
79 383 24
79 431 13
79 502 20
79 595 18
79 751 12
79 884 24
79 953 21
80 225 23
80 323 21
80 386 10
80 533 16
80 546 24
80 552 18
80 972 27
81 86 21
81 89 17
81 172 28
81 186 25
81 223 23
81 343 16
81 427 14
81 475 27
81 548 29
81 592 20
81 702 16
81 730 17
81 777 18
81 849 11
81 922 25
81 987 14
82 285 21
82 370 12
82 400 27
82 579 25
82 685 22
82 766 19
82 822 12
82 984 19
83 103 30
83 141 22
83 147 11
83 249 25
83 260 27
83 261 24
83 269 26
83 302 10
83 382 22
83 462 25
83 492 10
83 741 20
84 119 12
84 141 28
84 154 29
84 263 15
84 633 12
84 803 11
85 120 18
85 214 30
85 316 12
85 515 18
85 533 15
85 577 15
85 580 22
85 983 23
86 366 14
86 454 14
86 837 29
86 864 24
87 90 29
87 331 28
87 356 23
87 437 26
87 494 30
87 611 14
87 652 19
87 798 20
87 933 11
88 102 23
88 154 13
88 193 29
88 197 19
88 205 21
88 371 17
88 554 15
88 810 19
88 831 23
88 939 28
89 439 24
89 477 29
89 495 28
89 550 12
89 587 28
89 781 21
89 869 26
89 896 26
90 333 30
90 422 29
90 446 22
90 529 28
90 543 22
90 687 21
90 732 30
90 829 16
91 152 11
91 184 11
91 226 17
91 283 30
91 293 13
91 326 29
91 353 19
91 354 14
91 414 19
91 475 16
91 477 17
91 642 23
91 643 23
91 651 28
91 671 23
91 693 27
91 734 10
91 743 23
91 845 19
91 905 18
91 971 19
91 978 19
91 984 18
92 152 25
92 201 30
92 250 18
92 361 28
92 463 23
92 508 25
92 723 17
92 772 29
92 788 30
92 805 10
92 812 10
92 852 14
92 906 26
93 577 25
93 628 22
93 768 20
93 899 27
94 277 23
94 300 25
94 861 21
95 122 11
95 152 23
95 222 23
95 488 23
95 581 16
95 671 22
95 740 21
95 953 28
96 105 29
96 408 17
96 422 25
96 685 26
96 816 25
96 822 15
96 869 21
96 872 13
96 882 17
96 967 29
97 171 24
97 252 19
97 268 15
97 313 13
97 363 20
97 417 22
97 449 27
97 529 10
97 567 30
97 689 25
97 727 23
97 730 24
97 784 21
97 841 16
97 861 23
98 297 30
98 435 17
98 440 13
98 520 22
98 696 20
98 717 25
98 799 28
98 865 13
98 940 13
98 943 22
99 101 12
99 169 28
99 207 27
99 292 25
99 321 22
99 328 10
99 373 13
99 723 21
99 726 30
99 739 29
99 851 16
99 930 30
99 984 16
100 186 28
100 223 12
100 334 11
100 336 16
100 381 23
100 455 30
100 512 13
100 686 24
100 964 15
101 136 17
101 163 23
101 173 18
101 242 23
101 385 19
101 688 23
101 735 25
101 740 11
102 185 24
102 272 17
102 337 23
102 365 22
102 440 22
102 683 14
102 719 16
102 774 12
102 844 20
102 856 28
102 862 21
102 967 12
103 213 25
103 238 26
103 286 27
103 473 21
103 511 17
103 531 13
103 556 22
103 561 17
103 614 13
103 682 14
103 931 30
104 184 24
104 201 10
104 264 13
104 296 24
104 340 28
104 482 10
105 220 23
105 247 13
105 328 23
105 341 15
105 479 29
105 495 28
105 568 22
105 592 10
105 649 25
105 752 23
105 757 21
106 119 24
106 140 24
106 165 14
106 176 21
106 288 29
106 297 25
106 323 13
106 582 23
106 593 18
106 608 10
106 819 26
106 910 21
107 199 29
107 275 23
107 296 22
107 404 24
107 577 18
107 631 18
107 715 17
107 764 27
107 772 30
107 778 28
107 999 27
108 156 16
108 208 21
108 211 18
108 425 27
108 499 24
108 518 19
108 552 24
108 605 28
108 792 25
109 152 18
109 171 22
109 174 29
109 214 28
109 376 25
109 393 19
109 446 12
109 503 30
109 516 13
109 590 30
109 702 15
109 742 10
109 882 13
109 958 25
110 165 13
110 336 13
110 391 21
110 464 13
110 468 10
110 701 16
110 814 30
110 980 15
110 985 26
110 993 22
111 175 19
111 290 24
111 307 30
111 514 22
111 542 30
111 578 29
111 656 18
112 328 29
112 384 16
112 657 16
112 891 20
112 942 17
112 982 10
113 129 14
113 141 17
113 175 19
113 304 29
113 330 22
113 502 18
113 536 26
113 672 28
113 681 11
113 709 16
113 781 30
113 797 16
113 897 29
113 943 17
114 140 22
114 204 21
114 314 25
114 322 12
114 356 23
114 543 15
114 612 29
114 734 13
114 913 19
115 155 12
115 213 28
115 646 29
115 795 25
115 818 21
115 830 11
116 203 24
116 275 28
116 402 27
116 442 12
116 507 14
116 600 18
116 608 10
116 612 15
116 660 26
116 809 10
116 827 21
117 247 23
117 281 20
117 320 15
117 324 12
117 604 16
117 834 20
117 885 30
117 953 14
117 974 17
118 127 28
118 157 27
118 494 15
118 505 19
118 529 13
118 560 17
118 564 22
118 590 30
118 622 18
118 869 13
118 901 25
118 927 14
119 240 21
119 338 21
119 409 26
119 629 29
119 863 25
119 867 16
119 916 22
120 192 15
120 228 17
120 346 20
120 447 13
120 542 19
120 566 14
120 657 23
120 658 29
120 699 19
120 700 28
120 712 25
120 717 11
120 910 27
121 151 19
121 172 18
121 254 12
121 382 22
121 456 22
121 514 20
121 534 13
121 893 23
122 138 24
122 162 26
122 226 26
122 477 11
122 537 14
122 590 24
122 962 12
123 152 12
123 321 28
123 326 28
123 393 24
123 402 27
123 417 14
123 600 23
123 622 12
123 630 18
123 650 22
123 848 26
123 963 19
123 972 29
124 223 18
124 299 13
124 467 19
124 705 21
124 745 16
124 756 30
125 262 16
125 354 13
125 562 16
125 658 29
125 837 12
125 867 25
125 900 15
125 927 24
125 950 22
126 255 23
126 299 21
126 305 11
126 361 26
126 563 24
126 886 11
126 919 22
126 951 10
126 956 15
126 960 26
126 977 14
126 986 16
127 214 29
127 263 24
127 302 10
127 387 30
127 584 20
127 754 27
127 815 20
127 858 30
127 903 16
127 916 20
127 992 30
128 273 22
128 341 22
128 505 25
128 664 26
128 715 24
128 760 11
128 884 19
129 369 26
129 508 21
129 527 24
129 545 11
129 595 23
129 678 28
129 724 11
129 745 19
129 913 25
130 239 13
130 295 23
130 345 26
130 379 17
130 436 28
130 449 12
130 726 14
130 870 29
131 192 11
131 306 19
131 452 23
131 473 14
131 587 30
131 696 12
131 789 23
131 790 27
131 883 22
132 144 15
132 193 30
132 199 15
132 270 13
132 495 14
132 585 25
132 771 17
132 857 12
