Count	Max_his	Min_his	The_end
1	1.00	-0.20	-0.20
2	79.60	0.20	78.40
3	1.50	-0.10	-0.10
4	97.50	0.60	95.00
5	118.10	0.60	118.00
6	71.60	1.00	71.10
7	1.30	-0.10	-0.10
8	1.00	-0.40	-0.40
9	67.30	0.50	66.60
10	61.90	0.30	61.70
11	84.70	0.40	84.40
12	1.00	-0.30	-0.30
13	71.10	1.00	71.00
14	101.70	0.70	101.50
15	3.00	-0.00	-0.00
16	57.40	1.00	56.00
17	107.60	0.80	107.60
18	75.90	0.90	75.00
19	94.60	0.30	94.30
20	65.90	0.40	65.00
21	71.70	0.20	71.20
22	2.90	-0.00	-0.00
23	87.10	1.00	84.00
24	1.00	-0.00	-0.00
25	85.40	1.00	84.50
26	100.20	0.90	99.60
27	71.40	0.80	68.90
28	95.00	0.70	93.70
29	88.10	0.10	86.00
30	111.50	0.80	109.20
31	1.30	-0.10	-0.10
32	63.00	0.30	59.80
33	115.60	1.00	114.80
34	2.10	-0.10	-0.10
35	1.00	-0.10	-0.10
36	75.70	1.00	75.10
37	1.00	-0.10	-0.10
38	1.00	-0.10	-0.10
39	80.60	1.00	80.60
40	114.30	0.20	112.70
41	1.00	-0.10	-0.10
42	2.40	-0.00	-0.00
43	2.20	-0.00	-0.00
44	1.00	-0.10	-0.10
45	1.40	-0.00	-0.00
46	100.20	0.90	99.90
47	1.10	-0.40	-0.40
48	1.20	-0.50	-0.50
49	1.00	-0.10	-0.10
50	67.30	0.70	67.20
51	92.20	0.50	91.30
52	105.10	0.90	104.30
53	71.60	1.00	69.30
54	68.40	0.30	66.00
55	85.00	0.70	83.40
56	71.50	0.80	70.70
57	83.00	0.60	81.90
58	69.10	0.30	68.30
59	72.30	0.10	70.10
60	107.70	1.00	107.20
61	84.20	0.40	84.20
62	65.90	0.90	65.70
63	111.80	0.90	109.70
64	82.30	1.00	82.00
65	52.40	0.60	49.30
66	1.80	-0.20	-0.20
67	1.00	-0.40	-0.40
68	83.70	0.70	82.60
69	1.10	-0.10	-0.10
70	1.20	-0.00	-0.00
71	4.00	-0.00	-0.00
72	91.50	0.70	91.10
73	3.90	-0.20	-0.20
74	1.00	-0.00	-0.00
75	116.30	0.50	114.50
76	69.40	0.20	69.20
77	105.30	1.00	104.80
78	68.70	0.50	65.90
79	72.20	0.90	72.20
80	1.00	-0.00	-0.00
81	99.80	0.90	99.80
82	4.00	-0.10	-0.10
83	88.10	0.80	87.80
84	91.90	0.80	89.50
85	2.80	-0.20	-0.20
86	1.70	-0.10	-0.10
87	1.00	-0.10	-0.10
88	93.90	0.70	93.30
89	85.20	1.00	84.70
90	84.50	0.50	84.20
91	1.00	-0.30	-0.30
92	84.50	1.00	84.50
93	1.00	-0.00	-0.00
94	76.60	0.40	76.60
95	82.60	1.00	79.70
96	136.20	0.50	136.00
97	1.00	-0.20	-0.20
98	1.90	-0.00	-0.00
99	103.90	0.90	102.90
100	1.00	-0.10	-0.10
ALL_in_history	136.20	-0.50
ALL_in_the_end	136.00	-0.50
